"Produktname";"Hersteller";"Produktbeschreibung";"Kaufpreis_in_Euro";"Monatliche_Kosten";"Refinanzierungsmoglichkeit";"Vertrieb";"Zuletzt_aktualisiert";"Interoperabilitat";"SmartphoneTablett_erforderlich";"Stromversorgung";"Mobilitat";"Eigenstaendige_Loesung";"Oberthema";"Pflegeproblem";"Produktkategorie";"PrimeOberthema";"LPD_Schauraum";"id";"Produktform";"Internetzugang_erforderlich";"Vernetzung";"Gutesiegel";"Status"
"Huawei Watch 4";"Huawei Technologies Co., Ltd";"Die Huawei Watch 4 bietet klare Anzeige und Touch-Bedienung. Mit umfassenden Gesundheits- und Fitnessfunktionen, darunter Herzfrequenzüberwachung und Schlafanalyse, unterstützt sie einen aktiven Lebensstil. Die Uhr ist mit verschiedenen Sportmodi ausgestattet, wasserfest kann Stürze und den Standort melden.";"301-500 €";"";"";"Online-Shops; Elektrofachgeschäfte";"2025-05-23";"";"Ja";"Akku, aufladbar";"Wearables";"Nein";"Stürzen; Sich verlaufen,Vergesslichkeit";"Findet nicht zurück nach Hause; Nach Sturz um Hilfe rufen; Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen";"Ortungssystem; Sturzmelder,Smartwatch";"Stürzen; Sich verlaufen,Vergesslichkeit";"";"1041";"Hardware + Software";"Ja";"Ethernet; Bluetooth; GMS/LTE (SIM-Karte)";"";"Aktiv"
"cogvisAI";"cogvis Software und Consulting GmbH";"Der CogvisAI Smartsensor bietet Module zur Sturzprävention, Sturzerkennung, Abwesenheitserkennung, Sturzanlyse und Lichtsteuerung. Über 3D Sensoren ohne Kamera werden Bewegungen im Raum erkannt und analysiert. Im Notfall lösen sie einen Alarm aus.";"Auf Anfrage";"Ja";" ";"Hersteller-Website";"2025-05-23";"";"Nein";"Netzbetrieb";"Verbaut/Montage erforderlich";"Nein";"Stürzen";"Nach Sturz um Hilfe rufen";"Sturzmelder";"Stürzen";"";"1043";"Hardware + Software";"Nein";"WLAN";"";"Aktiv"
"Vayyar Home Anwesenheits- und Sturzerkennungssystem";"PureSec GmbH";"Der Vayyar Home ist ein Sturzsensor, der einen Sturz erkennt und automatisch die Notfallkontakte alarmiert über SMS oder Push-Nachrichten. Keine Kamera verbaut und kein Notfallknopf zu bedienen. Der Sensor wird einfach an die Wand oder an die Decke angebracht. Mit einem Pflegegrad kann ein Antrag bei der Pflegekasse zur 100% Kostenübernahme eingereicht werden.";"über 500 €";"nein";"";"Hersteller-Website";"2025-05-23";"SCAIP Schnittstelle zur Anbindung an Notrufzentrale vorhanden";"Ja";"Netzbetrieb";"Einfach umrüstbar";"Nein";"Stürzen";"Nach Sturz um Hilfe rufen";"Sturzmelder";"Stürzen";"";"1044";"Hardware + Software";"Ja";"WLAN";"";"Aktiv"
"LifeGuard-II 4G LTE";"VIDEOMENSIO GmbH";"Die Uhr kann über GPS, WIFI und LBS (GSM-Ortungssystem) in Echtzeit geortet werden. Sie können den Verlauf Ihrer Route verfolgen und Sicherheitszonen definieren, um Benachrichtigungen beim Betreten und Verlassen zu erhalten. Bis zu drei Notrufnummern werden zweimal hintereinander angerufen, bis eine Verbindung zustande kommt.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-05-23";"";"Ja";"Akku, aufladbar";"Wearables";"";"Stürzen";"Findet nicht zurück nach Hause; Nach Sturz um Hilfe rufen; Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Ortungssystem; Sturzmelder; Weglaufschutz";"Stürzen";"";"1045";"Nur Hardware";"Ja";"GMS/LTE (SIM-Karte)";"";"Aktiv"
"Funk-Rufsystem: HC-306 incl. HC-501";"AAL Homecare / Lehmann Electronic GmbH";"Der Funk-Türwächter (HC-306) überwacht das Verlassen von Räumen bei Menschen mit Demenz. Einfache Aktivierung mit Magnetschlüssel. Der HC-501-Alarmempfänger gibt optische und akustische Signale aus. Der HC-307 ist auch für Türknaufeinsatz geeignet.";"über 500 €";"Nein";"";"Seniorentechnik-Martin / Syscon-Martin Healthcare GmbH";"2025-05-23";"AAL-Homecare Funksender";"Nein";"Netzbetrieb plus Batterie";"Einfach umrüstbar";"Ja";"Stürzen; Sich verlaufen";"Findet nicht zurück nach Hause; Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen; Sich verlaufen";"";"1046";"Nur Hardware";"Nein";"869,23 MHz (sichere Sozialalarm Frequenz)";"Nein";"Aktiv"
"Funk-Rufsystem: HC-306 incl. HC-502";"AAL Homecare / Lehmann Electronic GmbH";"Der AAL Profiline Türwächter HC-306 signalisiert das Verlassen eines Raumes, z.B. durch Demenzpatienten, an der Türklinke. Ein Magnetschlüssel aktiviert/deaktiviert ihn von außen, der Status ist sichtbar. Der mobile Notrufempfänger gibt Alarme mit LED und Ton aus, bis quittiert. Betrieb über Netzteil oder Powerbank möglich, mit zwei Akkupacks für ständige Erreichbarkeit.";"über 500 €";"Nein";"";"Seniorentechnik-Martin / Syscon-Martin Healthcare GmbH";"2025-05-23";"AAL-Homecare Funksender";"Nein";"Netzbetrieb plus Batterie";"Einfach umrüstbar";"Ja";"Stürzen; Sich verlaufen";"Findet nicht zurück nach Hause; Verlässt unbemerkt die Wohnung,Verlässt unbemerkt die Wohnung";"Weglaufschutz";"Stürzen; Sich verlaufen";"";"1047";"Nur Hardware";"Nein";"869,23 MHz (sichere Sozialalarm Frequenz)";"Nein";"Aktiv"
"Funk-Rufsystem: HC-306 incl. HC-503";"AAL Homecare / Lehmann Electronic GmbH";"Der Funk-Türwächter (HC-306) schützt Menschen mit Demenz vor ungewolltem Weglaufen. Er überwacht das Verlassen von Räumen und alarmiert. Mit einem Magnetschlüssel kann er einfach von außen aktiviert oder deaktiviert werden. Der Status ist gut sichtbar. Der Steckdosenempfänger (HC-503) schaltet angeschlossene Geräte wie Lampen ein oder aus.";"über 500 €";"Nein";"";"Seniorentechnik-Martin / Syscon-Martin Healthcare GmbH";"2025-05-23";"AAL-Homecare Funksender";"Nein";"Netzbetrieb plus Batterie";"Einfach umrüstbar";"Ja";"Sich verlaufen; Stürzen";"Findet nicht zurück nach Hause; Verlässt unbemerkt die Wohnung; Sieht Hindernisse nicht gut";"Weglaufschutz; Lichtsteuerung";"Sich verlaufen; Stürzen";"";"1048";"Nur Hardware";"Nein";"869,23 MHz (sichere Sozialalarm Frequenz)";"Nein";"Aktiv"
"Funk-Rufsystem: HC-501";"AAL Homecare / Lehmann Electronic GmbH";"Der Funksender mit Magnetschalter gibt ein Signal, wenn die gesicherte Tür geöffnet wird. Dieses Funksystem mit Türalarmkontakt eignet sich gut zur Überwachung von Demenzkranken und Personen, die nachts umherirren. Der Steckdosen-Alarmempfänger HC-501 wird in eine 230V-Steckdose gesteckt und alarmiert durch LED-Lichtsignale und Töne, bis der Alarm am Empfänger abgeschaltet wird.";"301-500 €";"Nein";"";"Seniorentechnik-Martin / Syscon-Martin Healthcare GmbH";"2025-05-23";"AAL-Homecare Funksender";"Nein";"Netzbetrieb plus Batterie";"Einfach umrüstbar";"Ja";"Stürzen; Sich verlaufen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause,Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen; Sich verlaufen";"";"1049";"Nur Hardware";"Nein";"869,23 MHz (sichere Sozialalarm Frequenz)";"Nein";"Aktiv"
"Tunstall Tür-Überwachungs-Set";"Tunstall GmbH";"Das Tunstall Alarmtürkontaktsystem ist eine Lösung für die häusliche Pflege. Es alarmiert Angehörige oder Pflegepersonal. Magnetschalter melden das Öffnen der gesicherten Tür. Das System eignet sich zur Überwachung von Demenzpatienten. Das Öffnen der Tür löst automatische Anrufe an vorprogrammierte Nummern aus und ermöglicht die Freisprechkommunikation mit der Person.";"101-300 €";"Nein";"";"Seniorentechnik-Martin / Syscon-Martin Healthcare GmbH";"2025-05-23";"Tunstall AAL-System";"Nein";"Netzbetrieb plus Batterie";"Einfach umrüstbar";"Nein";"Stürzen; Sich verlaufen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen; Sich verlaufen";"";"1050";"Nur Hardware";"Nein";"Funkfrequenz 869,2125 MHz";"Nein";"Aktiv"
"Bosch Smart Home Tür-Fensterkontakt";"Robert Bosch GmbH";"Der intelligente Tür-/Fensterkontakt II erkennt geöffnete Türen/Fenster, zeigt den Status in der App an und drosselt die Heizkörper bei geöffnetem Fenster. Teil des Alarmsystems. Kompatibel zu Apple HomeKit, Amazon und Google Home. Statusabfrage per Sprachbefehl, Widget oder Nachricht. Benötigt Bosch Smart Home Controller.";"1-50 €";"Nein";"";"Online-Shops; Baumärkte";"2025-05-23";"Bosch Smart Home";"Ja";"Batterien";"Einfach umrüstbar";"Nein";"Stürzen; Sich verlaufen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Weglaufschutz,Smart Home / Assistenzsystem";"Stürzen; Sich verlaufen";"";"1051";"Nur Hardware";"Ja";"Zigbee";"Nein";"Aktiv"
"Tür-Wächter HC-306 incl. Funk-Alarmierung ";"Tunstall GmbH";"Das Alarm-Türkontakt-System von Tunstall ermöglicht zuverlässige Türüberwachung, ideal für Demenzkranke, Kinder und ""Nachtwanderer"". Magnetschalter melden Türöffnung an Kontaktperson mit CareAssist. Akustische, optische und Vibrationsalarme informieren sofort. Kompatibilität mit drahtgebundenem Zubehör anderer Hersteller in Tunstall Funkrufsystemen möglich.";"über 500 €";"Nein";"";"Seniorentechnik-Martin / Syscon-Martin Healthcare GmbH";"2025-05-23";"Tunstall AAL-System";"Nein";"Akku, aufladbar";"Verbaut/Montage erforderlich";"Ja";"Stürzen; Sich verlaufen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen; Sich verlaufen";"";"1052";"Nur Hardware";"Nein";"Funkfrequenz 869,2125 MHz";"Nein";"Aktiv"
"Tür-Überwachungs-Set";"AAL Homecare / Lehmann Electronic GmbH";"Der Türalarmkontakt mit Funksender überwacht gesicherte Türen und ist ideal für Demenzpatienten und ""Nachtwanderer"". Der mobile Notrufempfänger gibt deutliche LED- und akustische Warnungen aus, die quittiert werden können. Betrieb über Netzteil oder Powerbank, mit zwei Akkupacks für ständige Erreichbarkeit.";"301-500 €";"Nein";"";"Seniorentechnik-Martin / Syscon-Martin Healthcare GmbH";"2025-05-23";"AAL-Homecare Funksender";"Nein";"Netzbetrieb plus Batterie";"Verbaut/Montage erforderlich";"Ja";"Stürzen; Sich verlaufen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen; Sich verlaufen";"";"1053";"Nur Hardware";"Nein";"869,23 MHz (sichere Sozialalarm Frequenz)";"Nein";"Aktiv"
"Bellman Tür-Überwachungs-Set mit Taschenalarm";"Bellman & Symfon AB";"Der Alarm-Türkontakt Bellman eignet sich zur Überwachung von Räumen und Eingängen. Geeignet für Demenzkranke, ""Nachtwanderer"" und Kinder. Der Taschenvibrator Bellman Visit 868 empfängt und signalisiert Signale durch Vibrationen und LEDs, um Angehörige unauffällig über Alarme zu informieren.";"301-500 €";"Nein";"";"Seniorentechnik-Martin / Syscon-Martin Healthcare GmbH";"2025-05-23";"Bellman Visit 868- System";"Nein";"Netzbetrieb plus Batterie";"Verbaut/Montage erforderlich";"Ja";"Stürzen; Sich verlaufen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen; Sich verlaufen";"";"1054";"Nur Hardware";"Nein";"Funkfrequenz: 868,3 MHz";"Nein";"Aktiv"
"Bellman Tür-Überwachungs-Set, Tagalarm";"Bellman & Symfon AB";"Die Magnetschalter des Bellman-Systems sind zuverlässige Türüberwachungshilfen, ideal für Demenzkranke, ""Nachtwanderer"" und Kinder. Der mobile Empfänger Bellman Visit BE1450 empfängt die Signale und meldet sie mit Ton- und Lichtsignalen. Mit optimierter Tonfrequenz und hoher Lautstärke. Das tragbare Gerät kann leicht mitgenommen werden.";"301-500 €";"Nein";"";"Seniorentechnik-Martin / Syscon-Martin Healthcare GmbH";"2025-05-23";"Bellman Visit 868- System";"Nein";"Netzbetrieb plus Batterie";"Verbaut/Montage erforderlich";"Ja";"Stürzen; Sich verlaufen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen; Sich verlaufen";"";"1055";"Nur Hardware";"Nein";"Funkfrequenz: 868,3 MHz";"Nein";"Aktiv"
"Türkontakt";"Daza Opticare B.V.";"Der Türkontakt sorgt für eine einfache Absicherung der Wohnung. Einfach an der Außenseite der Tür anzubringen, er erkennt zuverlässig Bewegungen. Der Ein/Aus-Schalter bietet eine Notbetätigung. Reichweite bis zu 30 Meter in Innenräumen, Alarmierung durch akustische und/oder optische Signale.";"Auf Anfrage";"";"";"Hersteller-Website";"2025-05-23";"";"Nein";"";"Einfach umrüstbar";"Ja";"Stürzen; Sich verlaufen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen; Sich verlaufen";"";"1056";"Nur Hardware";"Nein";"";"";"Aktiv"
"Homematic IP Fenster- und Türkontakt HmIP-SWDM-2";"eQ-3 AG";"Der Fenster- und Türkontakt erkennt zuverlässig das Öffnen und Schließen von Fenstern und Türen über einen Magnetkontakt. Er kann im Homematic IP System zusammen mit anderen HmIP-Geräten verwendet werden.";"1-50 €";"Nein";"";"Online-Shops; Baumärkte";"2025-05-23";"Homematic IP Access Point.";"Ja";"Batterien";"Einfach umrüstbar";"Nein";"Sich verlaufen; Stürzen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Weglaufschutz";"Sich verlaufen; Stürzen";"";"1057";"Hardware + Software";"Ja";"WLAN";"Nein";"Aktiv"
"RTS16 Fensterkontakt mit und ohne STATUS-Meldung";"Eldat GmbH";"Der Fensterkontakt RTS16 überwacht zuverlässig Fenster und Türen. Er verfügt über eine Batterie, die regelmäßig auf schwache Leistung überprüft wird. Bei schwacher Batterie sendet er ""BATTERY LOW"" und prüft alle 4 Stunden erneut, um rechtzeitig auf einen Batteriewechsel hinzuweisen.";"1-50 €";"Nein";"";"Online-Shops";"2025-05-26";"";"Nein";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Sich verlaufen; Stürzen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Weglaufschutz";"Sich verlaufen; Stürzen";"";"1058";"Nur Hardware";"Nein";"Funkfrequenz: 868,3 MHz";"Nein";"Aktiv"
"KLINGELMATTE WT – MOBILER FUNKEMPFÄNGER";"WinkerTec";"Die Klingelmatte WT verfügt über einen batteriebetriebenen Funksender, der flexibel eingesetzt werden kann. Der Empfänger kann am Körper getragen oder gut hörbar platziert werden und hat in geschlossenen Räumen eine Reichweite von bis zu 30 Metern. Verschiedene akustische Signale und/oder LED-Leuchten ermöglichen eine zuverlässige Alarmierung.";"301-500 €";"Nein";"";"Seniorentechnik-Martin / Syscon-Martin Healthcare GmbH";"2025-05-26";"";"Nein";"Netzbetrieb";"Einfach umrüstbar";"Ja";"Sich verlaufen; Stürzen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Aufstehmelder";"Sich verlaufen; Stürzen";"";"1059";"Nur Hardware";"Nein";"";"Nein";"Aktiv"
"Funk Türüberwachung Set2 mit Kontaktmatte";"Bellman & Symfon AB";"Die Alarmtrittmatte ist ideal für die Pflege hilfsbedürftiger Personen. Sie wird unter Türmatten oder Bettvorleger gelegt und meldet das Betreten oder Verlassen. Ein Funksender an der Matte überträgt den Alarm an einen tragbaren Empfänger, der den Alarm durch Ton- oder Lichtsignale anzeigt. Damit ist die Sicherheit gewährleistet.";"301-500 €";"Nein";"";"ClaraVital / 4 your health GmbH";"2025-05-26";"Kompatibel mit Visitenanschluss an den BE1431 Telefonsender";"Nein";"Netzbetrieb";"Einfach umrüstbar";"Nein";"Sich verlaufen; Stürzen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Aufstehmelder";"Sich verlaufen; Stürzen";"";"1060";"Nur Hardware";"Ja";"Visit-Smart-Home-System";"Nein";"Aktiv"
"NUKI 220648 Türsensor Door Sensor Aufputz";"Nuki Home Solutions GmbH";"Der Nuki Door Sensor bietet eine einfache Möglichkeit, die Türsicherheit zu erhöhen. Er lässt sich leicht an der Innenseite der Tür anbringen und ermöglicht in Verbindung mit dem Nuki Smart Lock und der Nuki App die Fernüberwachung der Tür. Benachrichtigungen werden gesendet, wenn die Tür offen bleibt oder ungewöhnliche Bewegungen erkannt werden.";"51-100 €";"Nein";"";"Online-Shops";"2025-05-26";"iOS oder Android Smartphone; Nuki Smart Lock 3.0 (Pro)";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Sich verlaufen; Stürzen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Türschloss";"Sich verlaufen; Stürzen";"";"1061";"Nur Hardware";"Ja";"Frequenzbereich: 2402MHz-2480MHz";"Nein";"Aktiv"
"Careousel Advance GSM";"Mediring GmbH";"Der Careousel Advance GSM ist ein automatischer Tablettenspender, der durch akustische und optische Signale an die Medikamenteneinnahme erinnert. Er gibt die richtige Dosis zum richtigen Zeitpunkt ab und bewahrt den Rest sicher auf. Der Spender enthält einen Tabletteneinsatz mit 28 Fächern.";"101-300 €";"Ja";"";"Hersteller-Website";"2025-05-26";"";"Nein";"Batterien";"Beweglich";"Ja";"Stürzen,Vergesslichkeit";"Vergisst (Blutdruck-) Medikamente; Vergisst, Medikamente einzunehmen";"Medikamenten-Management";"Stürzen,Vergesslichkeit";"";"1063";"Nur Hardware";"Nein";"GMS/LTE (SIM-Karte)";"";"Aktiv"
"maja sana";"tantum sana GmbH";"Der automatische Tablettenspender wird mit Tabletten bestückt und gibt die Medikamente pünktlich aus. Er erinnert zuverlässig an die Einnahme und benachrichtigt bei Vergessen automatisch eine Kontaktperson. Das erleichtert die tägliche Routine.";"Auf Anfrage";"Ja";"Pflegehilfsmittelkatalog-Nr.: 52.40.04.0002";"Hersteller-Website";"2025-05-26";"";"Nein";"Netzbetrieb";"Einfach umrüstbar";"Ja";"Stürzen,Vergesslichkeit";"Vergisst (Blutdruck-) Medikamente; Vergisst, Medikamente einzunehmen";"Medikamenten-Management";"Stürzen,Vergesslichkeit";"";"1064";"Nur Hardware; Hardware + Software";"Nein";"GSM/LTE";"";"Aktiv"
"WLAN Tablettenbox DoseControl Modell 2021";"DOSECONTROL GmbH";"Der Tablettenspender DoseControl (Modell 2021) ist ideal für die Fernpflege durch Angehörige oder Pflegedienste. Er unterstützt die Medikamenteneinnahme, verhindert Überdosierungen und ermöglicht die Fernüberwachung über eine Android-App mit E-Mail- und Push-Benachrichtigungen.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-05-26";"";"Ja";"Batterien; Akku, aufladbar";"Beweglich";"Ja";"Stürzen,Vergesslichkeit";"Vergisst (Blutdruck-) Medikamente; Vergisst, Medikamente einzunehmen";"Medikamenten-Management";"Stürzen,Vergesslichkeit";"";"1065";"Hardware + Software";"Ja";"WLAN";"";"Aktiv"
"BLUETOOTH Tablettenbox DoseControl Modell 2021";"DOSECONTROL GmbH";"Der Tablettenspender DoseControl (Modell 2021) erleichtert die Fernpflege durch Angehörige oder Pflegedienste. Er unterstützt bei der Medikamenteneinnahme, verhindert Überdosierungen und ermöglicht die Fernüberwachung per Android-App mit E-Mail- und Push-Benachrichtigungen.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-05-26";"";"Ja";"Akku, aufladbar; Batterien";"Beweglich";"Ja";"Stürzen,Vergesslichkeit";"Vergisst (Blutdruck-) Medikamente; Vergisst, Medikamente einzunehmen";"Medikamenten-Management";"Stürzen,Vergesslichkeit";"";"1066";"Hardware + Software";"Nein";"Bluetooth";"";"Aktiv"
"MyTherapy App";"SmartPatient GmbH";"MyTherapy ist eine nützliche Anwendung zur Erinnerung an Medikamente, Messungen und Übungen. Die Nutzer können ihre Familien in den Behandlungsprozess einbeziehen, indem sie ihre Fortschritte teilen und Unterstützung bei der Medikamenteneinnahme erhalten. Dies ermöglicht ein sorgenfreieres Leben.";"Kostenlos";"Optional";"";"App-Stores";"2025-05-26";"";"Ja";"";"Beweglich";"Ja";"Stürzen,Vergesslichkeit";"Vergisst (Blutdruck-) Medikamente; Vergisst, Medikamente einzunehmen";"Medikamenten-Management";"Stürzen,Vergesslichkeit";"";"1067";"Nur App";"Ja";"";"";"Aktiv"
"mediteo: Tabletten-Erinnerung App";"MEDITEO GmbH";"Die mediteo App ist ein zuverlässiger Partner, um die Medikamenteneinnahme im Blick zu behalten. Sie hilft, keine Dosis zu vergessen, indem sie rechtzeitig an die Einnahme erinnert. Mit mediteo haben Menschen eine effektive Hilfe im hektischen Alltag.";"Kostenlos";"Optional";"";"App-Stores";"2025-05-26";"Digitale Gesundheitsakte CGM LIFE";"Ja";"";"Beweglich";"Ja";"Stürzen,Vergesslichkeit";"Vergisst (Blutdruck-) Medikamente; Vergisst, Medikamente einzunehmen";"Medikamenten-Management";"Stürzen,Vergesslichkeit";"";"1068";"Nur App; Software";"Ja";"";"Ja";"Aktiv"
"Alarm Medikamenten-Einnahme";"Medisafe Project Ltd.";"Medisafe, hilft Menschen dabei, ihre Medikamente pünktlich und korrekt einzunehmen. Nie wieder vergessen! Einfach zu bedienen und mit wichtigenn Informationen zur Medikamenteneinnahme.";"Kostenlos";"Optional";"";"App-Stores";"2025-05-26";"Android Wear Smartwatch";"Ja";"";"Beweglich";"Ja";"Stürzen,Vergesslichkeit";"Vergisst (Blutdruck-) Medikamente; Vergisst, Medikamente einzunehmen";"Medikamenten-Management";"Stürzen,Vergesslichkeit";"";"1069";"Nur App";"Ja";"";"";"Aktiv"
"vimedi";"NOVENTI Health SE";"Die vimedi App unterstützt Menschen bei der täglichen Einnahme mehrerer Medikamente. Die Plattform fördert die Therapietreue und verbessert die Lebensqualität der Patienten durch Flexibilität und Selbstbestimmung.";"Kostenlos";"Nein";"";"App-Stores";"2025-05-26";"";"Ja";"";"Beweglich";"Ja";"Stürzen,Vergesslichkeit";"Vergisst (Blutdruck-) Medikamente; Vergisst, Medikamente einzunehmen";"Medikamenten-Management";"Stürzen,Vergesslichkeit";"";"1070";"Nur App";"Ja";"";"";"Aktiv"
"TOM Medikations-App";"Innovation 6 AG";"TOM, der zuverlässige Medikamentenmanager, hilft bei der rechtzeitigen Einnahme von Medikamenten. Mit einer einfachen App können neue Medikamente im virtuellen Medikamentenschrank verwaltet und der Medikamentenplan einfach erstellt werden.";"Kostenlos";"Nein";"";"App-Stores";"2025-05-26";"";"Ja";"";"Beweglich";"Nein";"Stürzen,Vergesslichkeit";"Vergisst (Blutdruck-) Medikamente,Vergisst, die Medikamente einzunehmen";"Medikamenten-Management";"Stürzen,Vergesslichkeit";"";"1071";"Nur App";"Ja";"";"";"Aktiv"
"ABENA Nova mit MediSens";"Abena GmbH";"ABENA Nova mit MediSens verbessert die Lebensqualität von Menschen mit Inkontinenz und entlastet das Pflegepersonal durch innovative Wearable-Sensoren. Die Technologie liefert Echtzeitdaten für eine personalisierte Kontinenzpflege.";"auf Anfrage";"Ja";"";"Hersteller-Website";"2025-05-26";"WetSens Monitor-App";"Ja";"Akku, aufladbar";"Wearables";"Nein";"Stürzen";"Muss plötzlich und schnell zur Toilette,Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1072";"Hardware + Software";"Ja";"GMS/LTE (SIM-Karte); WLAN";"";"Aktiv"
"TENA SmartCare Wechselindikator™ | Gateway";"Essity Germany GmbH";"Der TENA SmartCare Wechselindikator™ unterstützt Pflegepersonen bei der Entscheidung, wann ein TENA Inkontinenzprodukt gewechselt werden muss. Das Gateway empfängt und übermittelt die erfassten Daten, sodass Benachrichtigungen auf dem Smartphone der Pflegeperson angezeigt werden können, um das Wohlbefinden der betreuten Personen zu verbessern.";"auf Anfrage";"Nein";"";"Hersteller-Website";"2025-05-26";"TENA SmartCare";"Ja";"Netzbetrieb";"Einfach umrüstbar";"Nein";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1073";"Hardware + Software";"Nein";"GMS/LTE (SIM-Karte)";"";"Aktiv"
"TENA SmartCare Wechselindikator™ | Sensor Wear Pants";"Essity Germany GmbH";"Der TENA SmartCare Wechselindikator™ hilft Pflegepersonen, den richtigen Zeitpunkt für den Wechsel von Inkontinenzprodukten zu erkennen. Ein Sensorstreifen misst den Nässegrad, der über den Sender und das Gateway Benachrichtigungen auf das Smartphone der Pflegeperson überträgt. Der Sender ist dabei bereits im Inkontinenzmaterial integriert. ";"1-50 €";"";"";"Hersteller-Website";"2025-05-26";"TENA SmartCare";"Ja";"Batterien";"Wearables";"Nein";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1074";"Hardware + Software";"Nein";"GMS/LTE (SIM-Karte)";"";"Aktiv"
"SeniControl App";"TZMO Deutschland GmbH";"Die SENI App SeniControl dient als digitales Miktionstagebuch für Personen mit Blasenschwäche und ihre Pflegepersonen. Die benutzerfreundliche Anwendung ermöglicht einfache Dokumentation, Informationen und kontinuierliche Gesundheitsüberwachung zur Verbesserung der Inkontinenzversorgung.";"kostenlos";"Optional";"";"App-Stores";"2025-05-26";"";"Ja";"";"Beweglich";"";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1076";"Nur App";"Ja";"";"";"Aktiv"
"DigniSens";"DigniSens GmbH";"Ein wiederverwendbare Sensor wird an der Außenseite von Inkontinenzprodukten befestigt und überträgt in Echtzeit Informationen über Inkontinenzepisoden und Bewegungen des Patienten. Es ist ideal für Pflegeheime und die häusliche Pflege, wo diese Daten besonders wichtig sind.";"Auf Anfrage";"";"";"Hersteller-Website";"2025-05-26";"Gängige Pflegesoftwares und Rufanlagen";"Ja";"Akku, aufladbar";"Wearables";"Nein";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1077";"Hardware + Software";"Ja";"WLAN";"";"Aktiv"
"kontina";"Rocketlane Medical Ventures GmbH";"Kontina ist eine App-basierte Therapie für Menschen mit überaktiver Blase (ÜAB). Sie bietet Anleitungen und Unterstützung für verhaltens- und physiotherapeutische Maßnahmen zur Symptomlinderung.";"Auf Anfrage";"";"";"App-Stores";"2025-05-26";"";"Ja";"";"Beweglich";"";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1078";"Nur App";"Ja";"";"";"Aktiv"
"UROLETICS";"Rocketlane Medical Ventures GmbH";"Die Uroletics Prostata App ist ein zugelassenes Medizinprodukt und bietet eine digitale Therapie zur Behandlung von Inkontinenz und erektiler Dysfunktion vor oder nach einer Prostataoperation. Sie enthält 3D-Visualisierungen und über 100 Trainingsvideos für eine effektive Rehabilitation.";"Auf Anfrage";"Ja";"Kostenübernahme durch Krankenkasse möglich";"App-Stores";"2025-05-26";"";"Ja";"";"Beweglich";"";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1079";"Nur App";"Ja";"";"";"Aktiv"
